gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
ENSMUSG00000024672	2.49942	-0.430019	0.215175	1.16049	0.49716000000000005	1.06979	0.965776	-0.5816100000000001	-1.19117	0.49716000000000005	1.86779	-1.4295799999999999
ENSMUSG00000024673	0.775044	-0.804195	-0.152365	1.06331	1.8679	1.14819	1.8728599999999997	0.706004	-2.83663	1.8679	2.7753799999999997	0.365888
ENSMUSG00000024677	2.19182	-0.237273	0.20540300000000003	1.1350200000000001	0.9860059999999999	1.9735900000000002	0.990455	-0.9964639999999999	-1.03241	0.9860059999999999	2.32218	-0.21613400000000002
ENSMUSG00000024679	3.9286300000000005	1.01411	-0.182503	2.05465	1.60586	3.70572	1.44551	-2.1057099999999997	-0.623235	1.60586	3.4736599999999997	-0.220847
ENSMUSG00000024747	0.6448470000000001	0.6945180000000001	-1.04395	0.729062	0.309659	0.6987939999999999	0.169823	-0.39937399999999995	-0.5278010000000001	0.309659	-0.00897513	0.0542879
ENSMUSG00000024757	-0.0788054	-0.716688	0.9975700000000001	-1.1478700000000002	0.599182	0.454722	-0.435472	0.13458	0.706094	0.599182	0.44562799999999997	0.533748
ENSMUSG00000024766	-0.720805	-0.652381	0.646892	-0.9571370000000001	-1.10814	-1.56857	-0.30650900000000003	0.44915	0.290231	-1.10814	-1.4217799999999998	-0.846692
ENSMUSG00000024795	-0.869468	-1.1266399999999999	2.1049	-1.18765	-1.60669	-2.04363	0.408827	0.42757799999999996	0.5588270000000001	-1.60669	-0.692846	-1.17524
ENSMUSG00000024803	0.44543699999999997	-0.376129	0.5108779999999999	0.572589	0.725971	3.57493	0.639464	-2.85235	-0.515794	0.725971	1.8052599999999999	3.12555
ENSMUSG00000024810	0.922108	-0.104181	-0.441543	0.9166280000000001	0.47774700000000003	1.64411	0.25148000000000004	-1.17487	-0.80678	0.47774700000000003	0.948644	0.723982
ENSMUSG00000024827	0.681894	-0.00233824	-0.6954020000000001	-0.0360319	1.94301	2.27053	0.616402	-0.336933	-1.32362	1.94301	1.20769	1.5938299999999999
ENSMUSG00000025007	0.763041	0.309988	-0.673837	0.5299560000000001	0.631588	1.7349900000000003	-0.607647	-1.11123	0.23367399999999997	0.631588	0.484008	0.975216
ENSMUSG00000025017	2.17265	-0.18622	-0.21941599999999997	0.957201	0.6726810000000001	1.47596	0.530246	-0.8126760000000001	-0.945551	0.6726810000000001	1.40622	-0.6961649999999999
ENSMUSG00000025044	4.09944	0.765211	-0.847532	1.84782	1.0638100000000001	2.8063	0.156569	-1.75037	-0.247705	1.0638100000000001	2.06002	-1.28957
ENSMUSG00000025058	2.54291	-0.6874859999999999	0.451582	0.030472000000000003	0.859448	1.26896	-0.070278	-0.419151	-0.175627	0.859448	1.33703	-1.27152
ENSMUSG00000025068	0.0822921	0.119025	-0.44410200000000005	0.21973	0.674604	1.05874	0.304859	-0.393244	-0.639709	0.674604	0.446384	0.979427
ENSMUSG00000025083	0.400828	-0.46743900000000005	0.0707724	-0.033152499999999994	3.5115	0.603396	-0.346181	2.89681	-0.060808400000000006	3.5115	3.54366	0.203442
ENSMUSG00000025154	1.26607	-0.176271	0.025119799999999998	0.358321	0.770799	1.02011	-0.08824030000000001	-0.259291	-0.07288689999999999	0.770799	1.15018	-0.24756799999999998
ENSMUSG00000025185	0.480538	-0.472254	0.164698	0.540806	0.623261	0.43335799999999997	-0.718481	0.181983	0.40223400000000004	0.623261	1.32417	-0.0522544
ENSMUSG00000025197	0.742664	1.13678	-0.656339	0.943449	0.136221	0.41154799999999997	0.872007	-0.285783	-0.40133	0.136221	0.41980500000000004	-0.330569
ENSMUSG00000025221	0.774826	1.1941	-1.79598	1.6975	1.26111	1.8923599999999998	-0.8125479999999999	-0.641803	0.20156400000000002	1.26111	1.15896	1.12087
ENSMUSG00000025270	0.0803331	-0.0438303	-0.526433	0.23925	1.36281	3.59245	0.110757	-2.2368099999999997	-0.691157	1.36281	1.07249	3.52159
ENSMUSG00000025279	2.03333	-0.829257	1.01667	-0.0660809	0.821733	1.1477899999999999	1.8756400000000002	-0.337187	-1.69983	0.821733	1.76815	-0.8867379999999999
ENSMUSG00000025473	2.43656	0.914516	-0.5540109999999999	1.0916	0.404443	3.8191599999999997	0.767432	-3.42116	-0.419558	0.404443	0.937298	1.38789
